Time to complete exam,Year,Nachklausur,Grade,Course,Attemptnumber,Bachelor/Master,Study
77,2021,No,3.3,Vis,2,(Wirtschafts-)Mathematik,Bachelor
77,2021,No,3,Vis,1,WirtschaftsInformatik,Master
68,2021,No,2.3,Vis,1,(Wirtschafts-)Mathematik,Master
70,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
74,2021,No,1,Vis,1,WirtschaftsInformatik,Bachelor
79,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
77,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
69,2021,No,2.3,Vis,2,(Wirtschafts-)Mathematik,Bachelor
39,2021,No,3.3,Vis,3,WirtschaftsInformatik,Master
68,2021,No,3,Vis,1,WirtschaftsInformatik,Master
68,2021,No,2.3,Vis,2,WirtschaftsInformatik,Bachelor
44,2021,No,3.3,Vis,1,WirtschaftsInformatik,Bachelor
68,2021,No,3,Vis,1,WirtschaftsInformatik,Bachelor
69,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
48,2021,No,2,Vis,2,WirtschaftsInformatik,Master
48,2021,No,1.3,Vis,1,WirtschaftsInformatik,Master
63,2021,No,3.7,Vis,1,(Wirtschafts-)Mathematik,Master
68,2021,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
78,2021,No,4,Vis,1,WirtschaftsInformatik,Master
44,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
79,2021,No,4,Vis,1,WirtschaftsInformatik,Bachelor
75,2021,No,3,Vis,1,WirtschaftsInformatik,Master
39,2021,No,3,Vis,1,WirtschaftsInformatik,Master
39,2021,No,3.3,Vis,1,WirtschaftsInformatik,Bachelor
75,2021,No,1.7,Vis,1,WirtschaftsInformatik,Master
63,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
71,2021,No,5,Vis,2,WirtschaftsInformatik,Bachelor
48,2021,No,1.3,Vis,1,WirtschaftsInformatik,Master
59,2021,No,2.7,Vis,2,WirtschaftsInformatik,Master
64,2021,No,4,Vis,2,WirtschaftsInformatik,Master
56,2021,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
74,2021,No,4,Vis,1,WirtschaftsInformatik,Bachelor
79,2021,No,4,Vis,2,WirtschaftsInformatik,Master
78,2021,No,2,Vis,1,WirtschaftsInformatik,Master
69,2021,No,3,Vis,1,WirtschaftsInformatik,Master
78,2021,No,2,Vis,2,(Wirtschafts-)Mathematik,Master
46,2021,No,5,Vis,3,(Wirtschafts-)Mathematik,Master
63,2021,No,1,Vis,1,WirtschaftsInformatik,Master
77,2021,No,3,Vis,3,WirtschaftsInformatik,Master
36,2021,No,2.3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
82,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
68,2021,No,3,Vis,1,WirtschaftsInformatik,Master
49,2021,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
86,2021,No,5,Vis,1,WirtschaftsInformatik,Master
76,2021,No,3.3,Vis,1,(Wirtschafts-)Mathematik,Master
65,2021,No,3.3,Vis,1,WirtschaftsInformatik,Master
64,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Bachelor
74,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
50,2021,No,5,Vis,2,WirtschaftsInformatik,Bachelor
54,2021,No,1.3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
48,2021,No,1.7,Vis,1,(Wirtschafts-)Mathematik,Master
37,2021,No,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
50,2021,No,4,Vis,1,WirtschaftsInformatik,Master
72,2021,No,3,Vis,3,WirtschaftsInformatik,Master
78,2021,No,5,Vis,2,WirtschaftsInformatik,Master
15,2021,No,5,Vis,1,WirtschaftsInformatik,Bachelor
63,2021,No,4,Vis,1,WirtschaftsInformatik,Master
73,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
52,2021,No,1.7,Vis,3,WirtschaftsInformatik,Master
73,2021,No,2,Vis,1,WirtschaftsInformatik,Bachelor
63,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
66,2021,No,1.3,Vis,2,WirtschaftsInformatik,Bachelor
65,2021,No,3,Vis,1,WirtschaftsInformatik,Bachelor
